model_a,model_b,metric,mean_diff_a_minus_b,cohens_dz,ttest_p,wilcoxon_p,ttest_p_holm,wilcoxon_p_holm
CatBoost,ExtraTrees,rmse,-0.02207640627657037,-2.5813570109771056,1.6892334922801424e-23,1.7763568394002505e-15,1.6216641525889368e-21,2.717825964282383e-13
CatBoost,Bagging,rmse,-0.04794329824399297,-3.6435640994816967,3.818476018209678e-30,1.7763568394002505e-15,4.314877900576936e-28,2.717825964282383e-13
CatBoost,DecisionTree,rmse,-0.15717854909557258,-7.661430722687313,2.1664804079202712e-45,1.7763568394002505e-15,2.9464133547715686e-43,2.717825964282383e-13
CatBoost,LinearRegression,rmse,-0.0389949706014729,-3.5259546936314834,1.7045023148961094e-29,1.7763568394002505e-15,1.8749525463857204e-27,2.717825964282383e-13
CatBoost,Ridge,rmse,-0.0390002460026369,-3.537079593686794,1.4768924850516155e-29,1.7763568394002505e-15,1.6541195832578092e-27,2.717825964282383e-13
CatBoost,Lasso,rmse,-0.0384383258369118,-3.6950542034510567,2.009699749365285e-30,1.7763568394002505e-15,2.291057714276425e-28,2.717825964282383e-13
CatBoost,ElasticNet,rmse,-0.03847865087431799,-3.7176257841847575,1.5205278997916954e-30,1.7763568394002505e-15,1.7486070847604497e-28,2.717825964282383e-13
CatBoost,HuberRegressor,rmse,-0.03899923345893467,-3.5292372553212576,1.6338520471675766e-29,1.7763568394002505e-15,1.81357577235601e-27,2.717825964282383e-13
CatBoost,KNN,rmse,-0.4508603983296865,-13.75703805381116,9.955567510596772e-58,1.7763568394002505e-15,1.5032906941001125e-55,2.717825964282383e-13
CatBoost,SVR,rmse,-0.10255663458554665,-4.896154605887351,4.1571544727828896e-36,1.7763568394002505e-15,5.321157725162099e-34,2.717825964282383e-13
CatBoost,MLP,rmse,-0.07837135683426485,-1.8765267793550493,7.651340709342525e-18,1.7763568394002505e-15,5.661992124913468e-16,2.717825964282383e-13
HistGradientBoosting,GradientBoosting,rmse,0.008810809664949723,1.069937416523188,8.867922413730316e-10,4.218847493575595e-12,3.547168965492126e-08,1.7719159473017498e-10
HistGradientBoosting,AdaBoost,rmse,-0.023002344546239853,-1.5096149419681981,2.2048757933779773e-14,1.9539925233402755e-13,1.4331692656956853e-12,1.1528555887707626e-11
HistGradientBoosting,RandomForest,rmse,-0.00333133003627498,-0.36083633353162897,0.01389744394083878,0.008848884696840642,0.25015399093509805,0.15927992454313156
HistGradientBoosting,ExtraTrees,rmse,-0.004470247264737148,-0.3823114606513875,0.009408757764127387,0.006131180232502587,0.17876639751842036,0.11649242441754915
HistGradientBoosting,Bagging,rmse,-0.030337139232159752,-2.5233409292128117,4.460598505999201e-23,1.7763568394002505e-15,4.059144640459273e-21,2.717825964282383e-13
HistGradientBoosting,DecisionTree,rmse,-0.13957239008373937,-6.777262252554599,7.90266984403266e-43,1.7763568394002505e-15,1.0431524194123111e-40,2.717825964282383e-13
HistGradientBoosting,LinearRegression,rmse,-0.021388811589639678,-1.3338595353965546,1.3528649171762458e-12,2.994404724177002e-11,6.632898880725939e-11,1.0779857007037208e-09
HistGradientBoosting,Ridge,rmse,-0.02139408699080368,-1.3365247604726294,1.2692703354332243e-12,2.630606843467831e-11,6.600205744252767e-11,9.733245320830974e-10
HistGradientBoosting,Lasso,rmse,-0.020832166825078574,-1.3432967890040304,1.079564195838855e-12,1.5448975432263978e-11,5.734654860818013e-11,5.870610664260312e-10
HistGradientBoosting,ElasticNet,rmse,-0.02087249186248477,-1.3516691087895172,8.840644593165413e-13,1.1727507853720454e-11,5.039167418104285e-11,4.573728062950977e-10
HistGradientBoosting,HuberRegressor,rmse,-0.021393074447101448,-1.334679225624849,1.3265797761451878e-12,2.994404724177002e-11,6.632898880725939e-11,1.0779857007037208e-09
HistGradientBoosting,KNN,rmse,-0.4332542393178533,-12.31370470009318,2.2050197130970414e-55,1.7763568394002505e-15,3.2193287811216802e-53,2.717825964282383e-13
HistGradientBoosting,SVR,rmse,-0.08495047557371342,-3.728200138145773,1.3349472582493138e-30,1.7763568394002505e-15,1.548538819569204e-28,2.717825964282383e-13
HistGradientBoosting,MLP,rmse,-0.06076519782243162,-1.3597342281904596,7.295689526288553e-13,1.7763568394002505e-15,4.231499925247361e-11,2.717825964282383e-13
GradientBoosting,AdaBoost,rmse,-0.031813154211189576,-2.5659933977780347,2.181075143314106e-23,1.7763568394002505e-15,2.0720213861484008e-21,2.717825964282383e-13
GradientBoosting,RandomForest,rmse,-0.012142139701224703,-1.6041592768498376,2.6060726382555024e-15,1.1368683772161603e-12,1.7460686676311867e-13,5.5706550483591855e-11
GradientBoosting,ExtraTrees,rmse,-0.013281056929686872,-1.3865580016026087,3.86186744268437e-13,1.0192735544478637e-11,2.317120465610622e-11,4.077094217791455e-10
GradientBoosting,Bagging,rmse,-0.03914794889710948,-3.2996964294962714,3.430600445659261e-28,1.7763568394002505e-15,3.7050484813120017e-26,2.717825964282383e-13
GradientBoosting,DecisionTree,rmse,-0.1483831997486891,-7.663359654610595,2.1403453648176823e-45,1.7763568394002505e-15,2.932273149800225e-43,2.717825964282383e-13
GradientBoosting,LinearRegression,rmse,-0.0301996212545894,-2.4882348473666434,8.092226780713979e-23,1.7763568394002505e-15,7.121159567028301e-21,2.717825964282383e-13
GradientBoosting,Ridge,rmse,-0.0302048966557534,-2.495443535405708,7.15704490246136e-23,1.7763568394002505e-15,6.441340412215224e-21,2.717825964282383e-13
GradientBoosting,Lasso,rmse,-0.029642976490028297,-2.526879629719847,4.202097950326398e-23,1.7763568394002505e-15,3.865930114300286e-21,2.717825964282383e-13
GradientBoosting,ElasticNet,rmse,-0.029683301527434494,-2.550334844019029,2.8333080261523233e-23,1.7763568394002505e-15,2.6349764643216607e-21,2.717825964282383e-13
GradientBoosting,HuberRegressor,rmse,-0.03020388411205117,-2.4902115135663694,7.824060322925247e-23,1.7763568394002505e-15,6.963413687403469e-21,2.717825964282383e-13
GradientBoosting,KNN,rmse,-0.442065048982803,-13.097044670928621,1.0933138793251815e-56,1.7763568394002505e-15,1.6181045414012686e-54,2.717825964282383e-13
