fold,seed,inner_cv_rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda
14,14,1.6990310969713118,400,4,0.013877226593694945,0.9156303198804386,0.8218251569555035,4,1.5542579848666533e-06,4.721301607560306e-05,1.2813217446100753e-08
15,15,1.6883136613360612,400,4,0.01718069026797999,0.5527291641657566,0.7503002651411482,6,0.002366489004288996,5.6134825915687445,0.5351198903268279
16,16,1.6780321519190782,450,3,0.015041023499872776,0.6859258577086859,0.9097159038113996,1,1.7021008902112307e-08,7.116650368111203e-05,0.12598006972644293
17,17,1.6848294154677217,450,4,0.01222436423469703,0.5677662829373533,0.9965690644401132,3,0.10010827304317362,0.05187632297182693,0.032416685881147225
18,18,1.701991582692632,600,3,0.018429269920977074,0.5257736393410314,0.5011909797104839,1,0.02680718102617608,5.36165807907552e-07,1.7339372434026607e-08
19,19,1.694428573374746,400,3,0.022909073280890358,0.772779979004613,0.6170380365735009,2,0.00022208589484697125,2.338706925965809e-07,0.0006225506989016897
20,20,1.680668392642687,100,4,0.04888379915825519,0.7622121628055305,0.899199589236083,8,1.1990979857803728e-08,2.9211164322031236,0.21035078700994891
21,21,1.7004991445348943,550,5,0.008787599240110374,0.5206037451330704,0.8170815384573714,9,0.6392901030172868,5.660715687515141e-07,0.5200932814822596
22,22,1.6918976699810624,300,4,0.023592666297137306,0.8301302940942419,0.9635818933509224,4,0.0001334330472380414,3.005926207087489e-05,2.126159733138583e-05
23,23,1.698109341197481,150,4,0.04062159337922485,0.5414153580632688,0.9420028526767132,5,0.010588208078732798,0.02580515068857808,3.132137207481261e-07
24,24,1.680974386973272,600,3,0.014788900659442692,0.8353039894300818,0.8569940957151736,6,1.729748115853309e-05,0.0536540843828692,4.360528407771352e-05
25,25,1.6910687478972704,500,4,0.011100213353143347,0.6102003834112701,0.9984229743282756,10,4.851237789464043,1.0698857374650827e-06,2.2977933831222534e-05
26,26,1.6784002059008316,550,4,0.0106087503125811,0.6616590831527489,0.8107954194710549,10,0.010294918713228622,0.04782818936722917,3.2741475288854103
27,27,1.6801963635267811,450,4,0.012280808878536562,0.5061973101408028,0.8876585254801125,9,8.347083758694354e-05,5.665308426180607,1.2327812814824321e-06
28,28,1.694726501580502,600,3,0.015107919768082316,0.9446573418629244,0.8227177422572843,1,2.058526609621903,0.0004915009093582025,0.03112901049702873
29,29,1.6848016319729084,500,3,0.019854247132408923,0.9253335242847381,0.569359840294323,9,0.4732200449643616,3.1353952336421983e-07,0.0003526864648507856
30,30,1.704407313075532,300,3,0.022278788139007213,0.7590881734129227,0.8834275531492527,10,6.030135015275513e-08,5.780179307629144e-07,8.86631503968712
31,31,1.6997843020731842,600,4,0.016179937801987926,0.8191569913868757,0.5007149393635074,6,0.24361226094623264,0.004246056959514443,9.63396378902503
32,32,1.6901489287771299,450,4,0.011623862754631113,0.5045116109218023,0.964653915658139,3,0.00022695576525904394,9.303960284312225,0.0009533283048620423
33,33,1.6898374483263048,600,3,0.017583671460155312,0.682674209754934,0.6017871971341371,2,1.8560339252377253e-06,0.40182826340516387,4.403455436442792e-08
34,34,1.6809898402515215,350,4,0.01361920858772933,0.5989300994722169,0.8757465335944676,4,0.00017792351456535799,1.4004147140428154e-06,2.3832634844405525e-05
35,35,1.6849717677043337,600,4,0.007814276845933284,0.924828407587647,0.8899999293266726,1,7.603236390365782e-08,0.0029369685695942887,9.937032450054281e-06
36,36,1.7012054993204413,450,4,0.011967221019339792,0.7112664789303738,0.9424052824586054,3,3.191211939838638e-07,0.0012915702090676544,0.04748214999931682
37,37,1.681287947006772,400,4,0.014835462333453888,0.6662967433718406,0.8629909698997618,5,0.05443509969841862,2.060259564067156e-07,1.8831106796833967
38,38,1.6928371963949975,450,4,0.016107852876064525,0.9163082887831202,0.8055146070632532,9,0.0011295109708179376,8.175789763562372,0.00035117083343285906
39,39,1.683563870546608,500,4,0.011042957528608267,0.7080500200960356,0.8904173652611043,6,2.262892442415816e-06,1.163774223192434e-06,2.41901359331509e-07
40,40,1.674851766618033,500,4,0.011239026389732292,0.5207931679239368,0.8855587973634109,6,7.063423913186829e-06,0.019699618025438168,0.5142104119825872
41,41,1.6984522132709476,350,3,0.017877711523574775,0.6846654828814488,0.8519322341338145,4,0.00044715890937765685,3.412788889736873e-06,3.712412458114712e-05
42,42,1.6891145724875287,250,4,0.022096526145513846,0.5704621124873813,0.9010984903770198,1,3.845031120156871,0.08916674715636537,6.143857495033091e-07
43,43,1.6975476396529863,350,3,0.023515990050132676,0.9515896452873088,0.7632420802888652,4,2.3149100702739118e-06,1.0233548208682655,0.008566355541270025
44,44,1.6825461567265072,350,4,0.01830952675365308,0.6314040706661721,0.9062685627693514,5,3.1538506392194423e-07,6.264313023459608,0.000692347092447773
45,45,1.708058426818074,350,2,0.03724965385380637,0.6039599031916206,0.5366137761393551,4,3.5137439786514485e-08,6.5749855617595685e-06,0.005249257810208455
46,46,1.6860074614961331,550,3,0.01488013923040383,0.971275394162168,0.6235619257262108,8,0.11914944433052443,0.4756004013416503,2.0411410760114097
47,47,1.688276902281726,450,3,0.017600286518527387,0.8249589468863859,0.6931217445415457,2,9.125055522412261e-05,0.0003080600489231107,7.489430857282131e-05
48,48,1.6895583974902177,400,3,0.019877483666946638,0.8629797111926314,0.7920637093703953,8,0.15120966933047875,0.03960210408895055,4.754767364304327e-07
49,49,1.6902837683819911,550,4,0.010569205129898647,0.7961059918986513,0.8152584148349865,9,4.154154784629808e-07,0.05269270697068856,1.5106516410534507
